iter	Passed	Remaining
0	30	15006
1	33	8271
2	36	5960
3	39	4822
4	42	4120
5	44	3632
6	47	3284
7	49	3027
8	52	2818
9	54	2655
10	57	2522
11	60	2410
12	62	2314
13	65	2232
14	67	2155
15	70	2094
16	72	2041
17	75	1991
18	77	1943
19	80	1900
20	82	1863
21	85	1829
22	87	1798
23	90	1767
24	92	1743
25	95	1717
26	97	1694
27	100	1676
28	103	1659
29	105	1639
30	108	1620
31	111	1603
32	113	1591
33	116	1576
34	119	1561
35	121	1545
36	124	1532
37	126	1519
38	129	1506
39	131	1493
40	134	1482
41	136	1471
42	139	1459
43	141	1450
44	144	1439
45	146	1430
46	149	1420
47	151	1411
48	155	1407
49	157	1399
50	160	1390
51	162	1381
52	165	1373
53	167	1366
54	170	1358
55	172	1351
56	175	1346
57	178	1339
58	180	1332
59	183	1327
60	186	1323
61	189	1318
62	192	1319
63	195	1315
64	198	1309
65	202	1310
66	205	1308
67	208	1303
68	211	1301
69	214	1297
70	217	1294
71	220	1290
72	223	1286
73	225	1282
74	228	1278
75	231	1274
76	234	1269
77	237	1264
78	239	1259
79	242	1255
80	245	1251
81	248	1248
82	251	1244
83	254	1240
84	256	1235
85	259	1231
86	262	1228
87	265	1224
88	268	1220
89	270	1215
90	273	1211
91	276	1208
92	279	1204
93	282	1200
94	284	1196
95	287	1191
96	290	1187
97	293	1186
98	297	1187
99	301	1186
100	303	1181
101	306	1179
102	309	1174
103	311	1169
104	314	1164
105	316	1159
106	319	1155
107	322	1151
108	324	1146
109	327	1142
110	329	1137
111	332	1133
112	336	1134
113	339	1130
114	341	1125
115	344	1121
116	346	1117
117	349	1113
118	352	1110
119	355	1107
120	358	1103
121	360	1099
122	363	1096
123	366	1093
124	369	1090
125	372	1086
126	374	1082
127	377	1079
128	380	1076
129	383	1072
130	385	1069
131	388	1065
132	391	1062
133	394	1059
134	397	1055
135	399	1052
136	402	1049
137	406	1047
138	408	1044
139	411	1041
140	414	1037
141	418	1037
142	422	1035
143	424	1032
144	427	1029
145	430	1027
146	434	1026
147	437	1023
148	440	1019
149	443	1016
150	446	1013
151	448	1009
152	451	1006
153	454	1002
154	456	999
155	459	995
156	462	992
157	465	989
158	467	986
159	470	982
160	473	979
161	476	976
162	479	973
163	482	969
164	484	966
165	487	963
166	490	960
167	493	957
168	496	953
169	498	950
170	501	947
171	505	947
172	510	946
173	513	944
174	516	941
175	520	939
176	522	936
177	634	1126
178	642	1130
179	652	1137
180	660	1141
181	668	1146
182	676	1150
183	691	1164
184	697	1164
185	701	1162
186	710	1166
187	714	1162
188	718	1159
189	726	1161
190	729	1157
191	733	1153
192	736	1149
193	740	1145
194	744	1142
195	748	1138
196	753	1135
197	756	1131
198	761	1128
199	766	1126
200	769	1122
201	772	1117
202	775	1111
203	777	1105
204	780	1100
205	783	1095
206	786	1090
207	789	1085
208	791	1079
209	794	1074
210	797	1069
211	799	1063
212	802	1058
213	804	1052
214	807	1047
215	809	1042
216	812	1037
217	814	1031
218	817	1026
219	819	1021
220	822	1015
221	825	1011
222	829	1007
223	832	1003
224	834	998
225	837	993
226	840	988
227	842	982
228	844	977
229	847	972
230	850	967
231	852	962
232	855	958
233	858	954
234	861	949
235	864	944
236	867	940
237	870	936
238	873	931
239	875	927
240	878	922
241	881	917
242	884	913
243	886	908
244	890	904
245	893	900
246	896	896
247	899	891
248	901	887
249	904	882
250	906	877
251	909	873
252	912	868
253	914	864
254	917	859
255	919	855
256	922	850
257	925	846
258	927	841
259	930	837
260	932	832
261	935	828
262	937	823
263	940	819
264	942	814
265	945	810
266	947	805
267	950	801
268	952	796
269	955	792
270	957	788
271	960	783
272	962	779
273	965	775
274	968	770
275	970	766
276	973	762
277	975	758
278	978	753
279	980	749
280	983	745
281	985	740
282	988	736
283	990	732
284	993	728
285	995	724
286	998	719
287	1000	715
288	1003	711
289	1005	707
290	1008	703
291	1010	699
292	1013	695
293	1017	691
294	1019	688
295	1022	684
296	1025	680
297	1028	676
298	1031	672
299	1034	669
300	1038	665
301	1041	662
302	1044	658
303	1047	654
304	1050	650
305	1052	646
306	1056	643
307	1059	639
308	1062	635
309	1064	631
310	1067	628
311	1070	624
312	1073	620
313	1075	616
314	1078	612
315	1081	608
316	1083	605
317	1086	601
318	1089	597
319	1091	593
320	1094	589
321	1096	585
322	1106	585
323	1108	581
324	1111	577
325	1114	574
326	1116	570
327	1119	566
328	1121	562
329	1124	558
330	1128	555
331	1131	551
332	1133	548
333	1136	544
334	1138	540
335	1141	536
336	1144	533
337	1146	529
338	1149	525
339	1151	521
340	1154	517
341	1157	514
342	1159	510
343	1162	506
344	1164	503
345	1167	499
346	1170	495
347	1172	491
348	1175	488
349	1177	484
350	1180	481
351	1184	477
352	1187	474
353	1190	470
354	1192	467
355	1195	463
356	1198	460
357	1201	456
358	1204	452
359	1207	449
360	1211	446
361	1214	442
362	1216	439
363	1219	435
364	1222	431
365	1226	428
366	1229	425
367	1232	421
368	1234	418
369	1237	414
370	1239	410
371	1242	407
372	1244	403
373	1247	400
374	1250	396
375	1252	393
376	1254	389
377	1258	386
378	1260	382
379	1263	379
380	1266	375
381	1269	372
382	1271	368
383	1274	365
384	1276	361
385	1279	357
386	1281	354
387	1284	350
388	1286	347
389	1289	343
390	1291	340
391	1294	336
392	1296	333
393	1299	329
394	1301	326
395	1304	322
396	1306	319
397	1309	315
398	1311	312
399	1314	308
400	1316	305
401	1319	301
402	1321	298
403	1324	294
404	1326	291
405	1329	288
406	1331	284
407	1334	281
408	1336	277
409	1338	274
410	1341	270
411	1345	267
412	1347	264
413	1359	262
414	1364	259
415	1368	256
416	1371	253
417	1375	250
418	1378	246
419	1389	244
420	1392	241
421	1394	238
422	1397	234
423	1400	231
424	1403	227
425	1407	224
426	1409	221
427	1412	217
428	1414	214
429	1417	210
430	1420	207
431	1422	204
432	1425	200
433	1427	197
434	1430	193
435	1432	190
436	1435	187
437	1437	183
438	1440	180
439	1442	177
440	1445	173
441	1447	170
442	1450	166
443	1452	163
444	1455	160
445	1457	156
446	1460	153
447	1462	150
448	1465	146
449	1467	143
450	1470	140
451	1472	136
452	1475	133
453	1477	130
454	1480	126
455	1482	123
456	1485	120
457	1487	116
458	1490	113
459	1492	110
460	1495	107
461	1497	103
462	1499	100
463	1502	97
464	1504	93
465	1508	90
466	1511	87
467	1513	84
468	1516	80
469	1519	77
470	1522	74
471	1524	71
472	1527	67
473	1530	64
474	1533	61
475	1535	58
476	1538	54
477	1541	51
478	1543	48
479	1547	45
480	1550	41
481	1552	38
482	1555	35
483	1557	32
484	1559	28
485	1562	25
486	1565	22
487	1568	19
488	1570	16
489	1573	12
490	1575	9
491	1578	6
492	1581	3
493	1583	0
